college_code,cast,cutoff,year,tier
1321,BCM,166.0,2020,2
1321,BCM,166.0,2021,2
1321,BCM,166.0,2022,2
1321,BCM,166.0,2023,2
1321,BCM,166.0,2024,2
1321,MBC,155.5,2020,2
1321,MBC,155.5,2021,2
1321,MBC,155.5,2022,2
1321,MBC,155.5,2023,2
1321,MBC,155.5,2024,2
1321,OC,172.5,2020,2
1321,OC,172.5,2021,2
1321,OC,172.5,2022,2
1321,OC,172.5,2023,2
1321,OC,172.5,2024,2
1321,SC,143.0,2020,2
1321,SC,143.0,2021,2
1321,SC,143.0,2022,2
1321,SC,143.0,2023,2
1321,SCA,127.0,2020,2
1321,SCA,127.0,2021,2
1321,SCA,127.0,2022,2
1321,SCA,127.0,2023,2
1321,ST,146.0,2020,2
1321,ST,146.0,2021,2
1321,ST,146.0,2022,2
1321,ST,146.0,2023,2
1321,ST,143.0,2024,2
1324,BC,175.0,2020,2
1324,BC,175.0,2021,2
1324,BC,178.5,2022,2
1324,BC,175.0,2023,2
1324,BC,175.0,2024,2
1324,BCM,170.5,2020,2
1324,BCM,170.5,2021,2
1324,BCM,175.0,2022,2
1324,BCM,170.5,2023,2
1324,BCM,170.5,2024,2
1324,MBC,171.0,2020,2
1324,MBC,171.0,2021,2
1324,MBC,171.0,2022,2
1324,MBC,171.0,2023,2
1324,MBC,171.0,2024,2
1324,MBCDNC,170.5,2022,2
1324,OC,178.5,2020,2
1324,OC,178.5,2021,2
1324,OC,178.5,2022,2
1324,OC,178.5,2023,2
1324,OC,178.5,2024,2
1324,SC,150.5,2020,2
1324,SC,150.5,2021,2
1324,SC,150.5,2022,2
1324,SC,150.5,2023,2
1324,SC,142.5,2024,2
1324,SCA,142.5,2022,2
1324,ST,130.5,2020,2
1324,ST,130.5,2021,2
1324,ST,142.5,2022,2
